No,Name Cafe,Place
1,110 Dagre Cafe,
2,A Cafe,Jogja
3,A Cafe Coffee-Cake-Eatery,Jogja
4,Arah Coffee Nook Jogja,Maguwoharjo
5,Arion Coffee and Tea,Bantul
6,Barba,Seturan
7,Batamera Coffee & Cascara,Bantul
8,Cafe Ours,
9,Cafe Tugu Lor,
10,CC Kopi,Bantul
11,Coffee House Huheyy!,Sleman
12,Colortones,
13,Dagadu Djokdja,Mangkubumi
14,Daheim Kaffee,
15,Damarasha Coffee and Space,Karangsari
16,Dancing Floor,
17,Djiwa,
18,Eplus.co Coffee and Co-Working,
19,Estuary Cafe,
20,Eyang Tun Cuisine,
21,Fill in Blue,
22,Gate 8 Coffee,Sleman
23,Gypsyhouse,
24,Homi,
25,House of Ambawani,
26,Imah Kopi Jogja,
27,Jeevny Coffee,
29,Joglo Putih Resto and Coffee,Sleman
30,Kaimana Kopi,
31,Kedai Bumiijo,Tugu
32,Kedai Canary's,
33,Kedai Garasi,Dekat UNY
34,Kedai Lamboc,Depok
35,Kedai Tumbuh,
36,Khwa Coffee Sagan,
37,Kineta Coffee & Publik Sphere,Yogyakarta
38,Kopi Kulondjono,
39,Kopi Slokan Local Resto & Coffee,
40,Kopi Story,
41,Kopi Tepi Sungai By The River Cottage,Jogja
42,Krasan Cafe & Resto,Bantul
43,Langit Sore Coffee & Co,Bantul
44,Lars Headquarters,
45,Lavana,
46,Lega Legi Kopi & Resto,Sleman
47,Lereh Leren lan Sareh,
48,Lotus Mio Bangunjiwo,Bantul
49,Lugaru Baru,
50,Lunaria Coffee,
51,Mam's Well Cafe and Workshop,
52,Mandawa Space,Bantul
53,Marron Cafe,Kulon Progo
54,Masa Kopi,
55,Mato Kopi,Sleman
56,MC Bakery & Coffeeshop,Bantul
57,Mocoffelo,Sleman
58,Mood River Garden,
59,Museumku Gerabah Resto & Cafe,
60,My Little Warung,
61,Ndalem Golo Cafe,Yogyakarta
62,Nuju Coffee,Setoran Sleman
63,Oppio Coffee,Sleman
64,Passion Coffe,Bantul
65,Proffen Cafe,
66,Punee Cafe,
67,Punk ala Rich,
68,Purbayan,Yogyakarta
69,Ratri by Prada,Prawirotaman
70,Rawuh Kopi,
71,Ruang Interaksi,Sleman
72,Ruang Literasi,Sleman
73,Rue Kopi,
74,Ruma Coffeatery,Malioboro
75,Rumah Rasa Kaliurang,
76,Santai Clubhouse,
77,Sarang Art Project,Bantul
78,Sasmaka Jogja,
79,Seazon Social Space,Sleman
80,Sejalan,
81,Sesarengan,Jetis Tirtoadi
82,Signatura Cafe,
83,Sorea Urban Forest,
84,Stairs,Prawirotaman
85,Stomping Ground Coffee,
86,SUA Coffee,
87,Sunset Coffee and Eatery,
88,Swasana By Temata,
89,Tala Bumi Coffee,Banguntapan
90,Teduh Coffee,Sleman
91,Teman Lama,Jogja
92,Temoto Coffee,
93,Temu kamu,
94,Tera View Yogyakarta,Sleman
95,Tetra Coffee & Eatery,
96,Tiga by Kanca,Yogyakarta
97,Tjakra Coffee & Eatery,Sleman
98,Toleransi Kopi,
99,UD Hasta Pakualaman,
100,Volare,
101,Warkop Tanah Sebrang,
102,Wiratea Spices Bar Perumnas,Sleman
103,Wistara Coffee,Maguwoharjo
104,Zabunch,
105,Zomia Co-Working Space,